	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
243	75	2922	152	38.96	25.0	6.25	3	1	0.04	0.0	"                Repost from @ssolkhova @TopRankRepost #TopRankRepost Самая родная❤️😭 
17.10.16 @ Yekaterinburg, Sverdlovskaya Oblast', Russia       Вот и каникулы✨ Замечательный денёк😌☝🏼️🚲 
Отличного всем лета.❤️
А любимая @lavandasha  удачи тебе, не волнуйся, всё сдашь на отлично, я то знаю☺️❤️😉 ✊🏼 @ Екатеринбург Центр города              Лето😓 Это лето было супер👍🏼 Спасибо всем😌 Хорошего учебного года😂😇😎 Ещё бы пару месяцев отдыха😉😀 #Питер #Лондон #Турция #Екатеринбург ❤️                        #даааааденёк             "	0.0	9.375	145943151	0	0	0
244	6	195	45	32.5	30.0	1.2	0	0	0.0	0.0	     	0.0	1.5	147158599	0	0	0
245														152147510.0			
246	1	13	13	13.0	13.0	1.0	0	0	0.0	0.0		0.0	1.0	157432229	0	0	0
247	98	1221	139	12.459183673469388	6.0	8.909090909090908	0	0	0.0	0.0	                                                                                                 	0.0	16.333333333333332	165881207	0	0	0
248	15	722	230	48.13333333333333	33.0	1.875	0	0	0.0	0.0	              	0.0	7.5	166791104	0	0	0
249	1	36	36	36.0	36.0	1.0	0	0	0.0	0.0		0.0	1.0	167231504	0	0	0
250	14	602	74	43.0	35.0	2.0	0	0	0.0	0.0	   Приятный вечер с приятными людьми 🙈 Спасибо за годы, проведенные вместе, и удачи во взрослой жизни ❤️. 11Б 💪 😋😊 С ними хоть на край света поеду ❤️ Брат ❤️      	0.0	3.5	168123124	0	0	0
251	1	68	68	68.0	68.0	1.0	0	0	0.0	0.0		0.0	1.0	169289353	0	0	0
252														181590844.0			
253	1	8	8	8.0	8.0	1.0	0	0	0.0	0.0		0.0	1.0	182536732	0	0	0
254	8	354	72	44.25	57.0	1.3333333333333333	0	0	0.0	0.0	       	0.0	4.0	185524683	0	0	0
255	7	571	131	81.57142857142857	65.0	1.1666666666666667	1	1	0.14285714285714285	0.0	      	0.0	2.3333333333333335	189110619	0	0	0
256	78	1069	50	13.705128205128204	7.5	7.090909090909091	0	0	0.0	0.0	                                                                             	0.0	11.142857142857142	189127221	0	0	0
257	2	55	40	27.5	27.5	1.0	0	0	0.0	0.0	 	0.0	1.0	193476546	0	0	0
258	7	1233	331	176.14285714285714	169.0	1.75	1	1	0.14285714285714285	0.0	      	0.0	1.4	193827307	0	0	0
