	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
297	2	60	31	30.0	30.0	1.0	0	0	0.0	0.0	... 	1.5	2.0	179304594	0	0	0
298	6	80	31	13.333333333333334	10.0	2.0	0	0	0.0	0.0	     	0.0	3.0	408484902	0	0	0
299	6	409	268	68.16666666666667	31.5	1.2	1	1	0.16666666666666666	0.0	     	0.0	1.5	174421820	0	0	0
300	20	1242	143	62.1	49.5	2.857142857142857	0	0	0.0	0.0	                   	0.0	5.0	74338788	0	0	0
301	68	657	41	9.661764705882353	9.0	6.181818181818182	0	0	0.0	0.0	                                                                   	0.0	11.333333333333334	193225599	0	0	0
302	4	166	82	41.5	35.5	1.3333333333333333	0	0	0.0	0.0	   	0.0	1.3333333333333333	195986526	0	0	0
303	94	600	38	6.382978723404255	3.0	9.4	0	0	0.0	0.0	                                                                                             	0.0	23.5	258402747	0	0	0
304	8	145	23	18.125	18.0	1.3333333333333333	0	0	0.0	0.0	       	0.0	4.0	199029803	0	0	0
305														54879392.0			
306	8	68	19	8.5	10.5	1.3333333333333333	0	0	0.0	0.0	       	0.0	2.6666666666666665	78777081	0	0	0
307	2	45	39	22.5	22.5	1.0	0	0	0.0	0.0	 	0.0	1.0	146899153	0	0	0
308	5	310	111	62.0	62.0	1.25	0	0	0.0	0.0	    	0.0	2.5	418141047	0	0	0
309	1	9	9	9.0	9.0	1.0	0	0	0.0	0.0		0.0	1.0	85526546	0	0	0
310	2	121	61	60.5	60.5	1.0	0	0	0.0	0.0	 	0.0	1.0	101457225	0	0	0
311	1	111	111	111.0	111.0	1.0	0	0	0.0	0.0		0.0	1.0	15051344	0	0	0
312														249733776.0			
313	2	50	25	25.0	25.0	1.0	0	0	0.0	0.0	 	0.0	1.0	501715316	0	0	0
314	2	19	10	9.5	9.5	1.0	0	0	0.0	0.0	 	0.0	1.0	13733057	0	0	0
315														105571407.0			
316	4	96	38	24.0	22.5	1.0	0	0	0.0	0.0	   	0.0	2.0	142870783	0	0	0
317	14	1049	113	74.92857142857143	79.0	1.75	0	0	0.0	0.0	             	0.0	3.5	138177793	0	0	0
318	15	306	47	20.4	21.0	1.875	0	0	0.0	0.0	 😍    Йоу         	0.0	2.5	42257714	0	0	0
319	7	699	219	99.85714285714286	107.0	1.75	0	0	0.0	0.0	      	0.0	3.5	145384762	0	0	0
320	22	2497	215	113.5	128.5	1.8333333333333333	1	1	0.045454545454545456	0.0	                     	0.0	5.5	143948887	0	0	0
321														530053961.0			
322	10	995	189	99.5	93.0	2.0	0	0	0.0	0.0	         	0.0	3.3333333333333335	141885442	0	0	0
323	76	277	27	3.6447368421052633	2.0	6.909090909090909	0	0	0.0	0.0	                                                                           	0.0	12.666666666666666	60971972	0	0	0
324	69	3765	164	54.56521739130435	49.0	5.75	0	0	0.0	0.0	                                                                    	0.0	9.857142857142858	209644864	0	0	0
325	3	58	29	19.333333333333332	27.0	1.5	0	0	0.0	0.0	  	0.0	1.5	299353310	0	0	0
326	70	843	110	12.042857142857143	3.5	7.0	4	1	0.05714285714285714	0.0	                                                                     	0.0	8.75	75691738	0	0	0
327														232927331.0			
328	10	285	74	28.5	20.0	1.6666666666666667	0	0	0.0	0.0	         	0.0	1.4285714285714286	115716658	0	0	0
329	15	867	165	57.8	62.0	2.5	0	0	0.0	0.0	              	0.0	3.75	125149859	0	0	0
330	13	39	13	3.0	1.0	3.25	0	0	0.0	0.0	            	0.0	6.5	477908660	0	0	0
331	14	128	21	9.142857142857142	9.5	2.0	0	0	0.0	0.0	             	0.0	3.5	134562688	0	0	0
332	32	6416	367	200.5	190.0	3.2	0	0	0.0	0.0	                               	0.0	8.0	287966621	0	0	0
333	6	469	137	78.16666666666667	57.5	2.0	0	0	0.0	0.0	     	0.0	2.0	194847541	0	0	0
334	1	25	25	25.0	25.0	1.0	0	0	0.0	0.0		0.0	1.0	162727194	0	0	0
335	15	1471	212	98.06666666666666	88.0	1.875	0	0	0.0	0.0	              	0.0	3.75	222858681	0	0	0
336	22	160	45	7.2727272727272725	3.5	2.75	2	1	0.09090909090909091	0.0	                     	0.0	3.6666666666666665	115455288	0	0	0
